iter	Passed	Remaining
0	6	6248
1	10	5176
2	15	5013
3	19	4822
4	24	4786
5	29	4817
6	33	4744
7	37	4645
8	40	4481
9	44	4435
10	49	4480
11	53	4431
12	57	4402
13	63	4465
14	67	4421
15	71	4396
16	76	4427
17	81	4443
18	86	4475
19	92	4529
20	96	4516
21	101	4522
22	107	4554
23	112	4579
24	118	4605
25	124	4645
26	128	4647
27	134	4659
28	139	4674
29	143	4631
30	147	4624
31	154	4667
32	158	4645
33	162	4625
34	167	4623
35	171	4605
36	175	4580
37	179	4536
38	184	4549
39	189	4544
40	193	4526
41	199	4543
42	203	4535
43	208	4522
44	214	4542
45	218	4529
46	223	4522
47	229	4545
48	233	4528
49	237	4513
50	242	4506
51	246	4491
52	250	4484
53	255	4479
54	261	4491
55	266	4494
56	271	4485
57	278	4526
58	283	4527
59	289	4534
60	294	4527
61	298	4510
62	302	4498
63	308	4511
64	313	4504
65	318	4501
66	321	4478
67	325	4458
68	328	4432
69	331	4410
70	336	4408
71	341	4396
72	345	4383
73	350	4391
74	354	4377
75	359	4368
76	364	4364
77	369	4365
78	374	4368
79	380	4370
80	384	4364
81	388	4351
82	392	4340
83	397	4332
84	401	4321
85	405	4307
86	410	4305
87	414	4294
88	418	4280
89	422	4275
90	426	4259
91	430	4245
92	434	4237
93	439	4236
94	443	4223
95	447	4209
96	450	4196
97	455	4193
98	460	4186
99	463	4170
100	467	4159
101	472	4160
102	476	4148
103	480	4138
104	485	4136
105	489	4124
106	492	4112
107	496	4100
108	500	4093
109	504	4082
110	508	4071
111	512	4063
112	516	4053
113	520	4045
114	524	4035
115	528	4025
116	532	4018
117	536	4006
118	539	3995
119	543	3984
120	547	3977
121	551	3967
122	554	3956
123	559	3953
124	562	3940
125	567	3935
126	571	3925
127	575	3921
128	579	3912
129	583	3902
130	586	3892
131	591	3890
132	595	3881
133	599	3874
134	604	3870
135	608	3867
136	613	3861
137	616	3853
138	621	3849
139	625	3841
140	629	3835
141	633	3828
142	638	3824
143	642	3817
144	646	3810
145	651	3812
146	655	3803
147	659	3797
148	663	3788
149	667	3783
150	671	3776
151	675	3770
152	681	3770
153	685	3765
154	689	3758
155	693	3750
156	697	3745
157	701	3738
158	704	3727
159	708	3719
160	712	3711
161	716	3705
162	720	3698
163	723	3689
164	727	3679
165	730	3672
166	734	3665
167	738	3658
168	743	3654
169	746	3646
170	751	3641
171	755	3638
172	759	3628
173	762	3621
174	766	3613
175	771	3611
176	775	3607
177	780	3602
178	784	3599
179	788	3592
180	792	3584
181	796	3578
182	800	3573
183	804	3567
184	807	3558
185	811	3551
186	815	3546
187	819	3537
188	822	3529
189	826	3522
190	830	3518
191	834	3510
192	838	3504
193	842	3498
194	846	3495
195	850	3489
196	854	3484
197	859	3479
198	863	3475
199	867	3470
200	871	3464
201	876	3462
202	880	3456
203	885	3453
204	889	3449
205	893	3442
206	897	3437
207	901	3432
208	906	3432
209	910	3426
210	915	3422
211	919	3416
212	923	3410
213	926	3404
214	931	3400
215	936	3398
216	940	3393
217	944	3388
218	948	3381
219	953	3380
220	956	3373
221	960	3366
222	964	3360
223	968	3356
224	972	3349
225	976	3344
226	980	3338
227	984	3332
228	988	3327
229	992	3322
230	997	3319
231	1000	3312
232	1004	3307
233	1008	3302
234	1013	3300
235	1017	3294
236	1021	3288
237	1025	3284
238	1030	3279
239	1034	3274
240	1037	3268
241	1042	3266
242	1046	3261
243	1050	3255
244	1054	3250
245	1058	3244
246	1063	3240
247	1066	3233
248	1070	3229
249	1074	3223
250	1078	3218
251	1082	3213
252	1086	3207
253	1090	3202
254	1094	3196
255	1097	3190
256	1102	3186
257	1105	3180
258	1109	3174
259	1113	3168
260	1117	3165
261	1121	3159
262	1125	3152
263	1128	3146
264	1133	3145
265	1137	3139
266	1141	3134
267	1146	3130
268	1150	3126
269	1154	3121
270	1158	3116
271	1163	3114
272	1167	3110
273	1172	3107
274	1177	3104
275	1181	3098
276	1184	3092
277	1188	3086
278	1193	3084
279	1197	3080
280	1201	3074
281	1205	3069
282	1210	3065
283	1214	3061
284	1218	3056
285	1223	3053
286	1226	3048
287	1230	3042
288	1234	3037
